"Fiscal Year","Name","Vendor","Organic","Local","Category 1","Category 2","Category 3","Weight","Unit","Dollars"
2017,"COOKIE DOUGH PB (1)","","No","No","Grains","","","346.15384615385","kilogram","0"
2017,"COOKIE DOUGH PB (2)","","No","No","Sugars","","","346.15384615385","kilogram","0"
2017,"COOKING WINE (1)","","No","No","Liquids","","","1153.8461538462","kilogram","0"
2017,"COOKING WINE (2)","","No","No","Liquids","","","783.69230769231","kilogram","0"
2017,"CORN MEAL","","No","No","Vegetables","","","1746.1538461538","kilogram","0"
2017,"CORNED BEEF","","No","No","Beef","","","558.76923076923","kilogram","0"
2017,"CORNED BEEF HASH","","No","No","Beef","","","2076.9230769231","kilogram","0"
2017,"CORNSTARCH","","No","No","Vegetables","","","1676.3076923077","kilogram","0"
2017,"COTTAGE CHEESE","","No","No","Cheese","","","1047.6923076923","kilogram","0"
2017,"COUSCOUS","","No","No","Grains","","","2285.7692307692","kilogram","0"
2017,"CPTN CRUNCH CEREAL","","No","No","Grains","","","888.18461538462","kilogram","0"
2017,"CRAB","","No","No","Fish","","","698.46153846154","kilogram","0"
2017,"CRANBERRY SAUCE","","No","No","Fruits","","","1319.2153846154","kilogram","0"
2017,"CREAM CHEESE (1)","","No","No","Cheese","","","628.61538461538","kilogram","0"
2017,"CREAM CHEESE (2)","","No","No","Cheese","","","163.26923076923","kilogram","0"
2017,"CREAM OF MUSHROOM SOUP","","No","No","Liquids","","","1332.2769230769","kilogram","0"
2017,"CREAM OF WHEAT","","No","No","Grains","","","731.44615384615","kilogram","0"
2017,"CREAM SOUP","","No","No","Liquids","","","329.412","kilogram","0"
2017,"CREAMER FRENCH VANILLA","","No","No","Milk","","","1230.7692307692","kilogram","0"
2017,"CREAMER PLAIN","","No","No","Milk","","","1253.9076923077","kilogram","0"
2017,"CRÈME CAKE MIX","","No","No","Grains","","","1746.1538461538","kilogram","0"
2017,"CROISSANTS","","No","No","Grains","","","261.23076923077","kilogram","0"
2017,"CROUTONS","","No","No","Grains","","","628.61538461538","kilogram","0"
2017,"CRUSHED RED PEPPER","","No","No","Spices","","","113.5","kilogram","0"
2017,"CUMIN SEEDS","","No","No","Spices","","","157.15384615385","kilogram","0"
2017,"CURRY MIX","","No","No","Spices","","","914.30769230769","kilogram","0"
2017,"CURRY POWDER","","No","No","Spices","","","34.830769230769","kilogram","0"
2017,"DANISH","","No","No","Grains","","","165.66923076923","kilogram","0"
2017,"DANISH APPLE","","No","No","Grains","","","392.30769230769","kilogram","0"
2017,"DANISH CHEESE","","No","No","Grains","","","365.72307692308","kilogram","0"
2017,"DANISH CINNAMON","","No","No","Grains","","","391.84615384615","kilogram","0"
2017,"DANISH RASPBERRY","","No","No","Grains","","","392.30769230769","kilogram","0"
2017,"DANISH VANILLA","","No","No","Grains","","","391.84615384615","kilogram","0"
2017,"DECAF COFFEE","","No","No","Coffee and tea","","","68.573076923077","kilogram","0"
2017,"DEVILS FOOD CAKE","","No","No","Grains","","","1746.1538461538","kilogram","0"
2017,"DICED GREEN CHILIES","","No","No","Vegetables","","","705.32307692308","kilogram","0"
2017,"DICED PEACHES","","No","No","Fruits","","","2076.9230769231","kilogram","0"
2017,"DICED PEARS","","No","No","Fruits","","","2076.9230769231","kilogram","0"
2017,"DICED RED PIMENTOS","","No","No","Vegetables","","","718.38461538462","kilogram","0"
2017,"DICED TOMATO (1)","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"DICED TOMATO (2)","","No","No","Vegetables","","","2076.9230769231","kilogram","0"
2017,"DIET COKE","","No","No","Liquids","","","5823.0769230769","kilogram","0"
2017,"DILL","","No","No","Spices","","","10.884615384615","kilogram","0"
2017,"DONUT (1)","","No","No","Grains","","","470.21538461538","kilogram","0"
2017,"DONUT (2)","","No","No","Grains","","","261.23076923077","kilogram","0"
2017,"DONUT CHOCO HOLES","","No","No","Grains","","","383.13846153846","kilogram","0"
2017,"DONUT CINNAMON","","No","No","Grains","","","1088.4615384615","kilogram","0"
2017,"DONUT FRENCH EGG","","No","No","Grains","","","352.66153846154","kilogram","0"
2017,"DONUT HOLE","","No","No","Grains","","","291.74252307692","kilogram","0"
2017,"DONUT LONG JOHN","","No","No","Grains","","","297.80307692308","kilogram","0"
2017,"DONUT TWIST","","No","No","Grains","","","287.35384615385","kilogram","0"
2017,"DORITOS","","No","No","Vegetables","","","108.84615384615","kilogram","0"
2017,"DR PEPPER","","No","No","Liquids","","","4367.3076923077","kilogram","0"
2017,"EDAMAME","","No","No","Beans","","","5238.4615384615","kilogram","0"
2017,"ELBOW PASTA","","No","No","Grains","","","1396.9230769231","kilogram","0"
2017,"ENGLISH MUFFIN","","No","No","Grains","","","313.47692307692","kilogram","0"
2017,"EVAPORATED MILK","","No","No","Milk","","","2095.3846153846","kilogram","0"
2017,"FALAFEL","","No","No","Beans","","","348.88153846154","kilogram","0"
2017,"FENNEL SEED","","No","No","Spices","","","60.953846153846","kilogram","0"
2017,"FETA CHEESE","","No","No","Cheese","","","279.38461538462","kilogram","0"
2017,"FETTUCCINE","","No","No","Grains","","","2095.3846153846","kilogram","0"
2017,"FISH SAUCE (1)","","No","No","Fish","","","300.41538461538","kilogram","0"
2017,"FISH SAUCE (2)","","No","No","Oils","","","300.41538461538","kilogram","0"
2017,"FLOUR","","No","No","Grains","","","5238.4615384615","kilogram","0"
2017,"FONTINA CHEESE","","No","No","Cheese","","","698.46153846154","kilogram","0"
2017,"FRENCH TOAST STICKS","","No","No","Grains","","","349.23076923077","kilogram","0"
2017,"FRENCH VANILLA POWDER","","No","No","Sugars","","","419.07692307692","kilogram","0"
2017,"FRIES","","No","No","Potatoes","","","12258","kilogram","0"
2017,"FRIES SMILES","","No","No","Potatoes","","","838.15384615385","kilogram","0"
2017,"FRIES SPIRAL","","No","No","Potatoes","","","838.15384615385","kilogram","0"
2017,"FROOT LOOPS CEREAL","","No","No","Grains","","","539.87692307692","kilogram","0"
2017,"FROSTED FLAKES","","No","No","Grains","","","1393.2307692308","kilogram","0"
2017,"FRUIT COCKTAIL","","No","No","Fruits","","","2095.3846153846","kilogram","0"
2017,"FUDGE ICING","","No","No","Sugars","","","1571.5384615385","kilogram","0"
2017,"FUZE RASP TEA","","No","No","Coffee and tea","","","3639.4230769231","kilogram","0"
2017,"GARBANZO BEANS","","No","No","Beans","","","2076.9230769231","kilogram","0"
2017,"GARDEN PATTIES (1)","","No","No","Beans","","","1065.8215384615","kilogram","0"
2017,"GARDEN PATTIES (2)","","No","No","Vegetables","","","1065.8215384615","kilogram","0"
2017,"GARLIC POWDER","","No","No","Spices","","","45.715384615385","kilogram","0"
2017,"GARLIC SALT","","No","No","Spices","","","419.07692307692","kilogram","0"
2017,"GELATIN","","No","No","Sugars","","","419.07692307692","kilogram","0"
2017,"GRANOLA","","No","No","Grains","","","1306.1538461538","kilogram","0"
2017,"GRANOLA BARS","","No","No","Grains","","","176.33076923077","kilogram","0"
2017,"GRAPE JELLY","","No","No","Sugars","","","2076.9230769231","kilogram","0"
2017,"GREEN PEAS (1)","","No","No","Vegetables","","","698.46153846154","kilogram","0"
2017,"GREEN PEAS (2)","","No","No","Vegetables","","","2095.3846153846","kilogram","0"
2017,"GREEN TEA","","No","No","Coffee and tea","","","3639.4230769231","kilogram","0"
2017,"GROUND BEEF","","No","No","Beef","","","1047.6923076923","kilogram","0"
2017,"GROUND BLACK PEPPER","","No","No","Spices","","","176.92307692308","kilogram","0"
2017,"GROUND CLOVES","","No","No","Spices","","","34.830769230769","kilogram","0"
2017,"GROUND CORIANDER","","No","No","Spices","","","30.476923076923","kilogram","0"
2017,"GROUND GINGER","","No","No","Spices","","","139.32307692308","kilogram","0"
2017,"GROUND MUSTARD","","No","No","Spices","","","69.661538461538","kilogram","0"
2017,"GROUND NUTMEG","","No","No","Spices","","","34.830769230769","kilogram","0"
2017,"GROUND TURKEY","","No","No","Chicken","","","2095.3846153846","kilogram","0"
2017,"GROUND WHITE PEPPER","","No","No","Spices","","","174.61538461538","kilogram","0"
2017,"GUACAMOLE","","No","No","Fruits","","","1676.3076923077","kilogram","0"
2017,"HALF & HALF","","No","No","Milk","","","4019.2307692308","kilogram","0"
2017,"HAM","","No","No","Pork","","","768.30769230769","kilogram","0"
2017,"HASH BROWNS","","No","No","Potatoes","","","587.76923076923","kilogram","0"
2017,"HOISIN SAUCE (1)","","No","No","Oils","","","538.46153846154","kilogram","0"
2017,"HOISIN SAUCE (2)","","No","No","Spices","","","538.46153846154","kilogram","0"
2017,"HONEY CLOVER","","No","No","Sugars","","","1047.6923076923","kilogram","0"
2017,"HOT SAUCE (1)","","No","No","Vegetables","","","436.73076923077","kilogram","0"
2017,"HOT SAUCE (2)","","No","No","Oils","","","436.73076923077","kilogram","0"
2017,"ICE CREAM","","No","No","Milk","","","24456.923076923","kilogram","0"
2017,"ITALIAN DRESSING","","No","No","Liquids","","","1161.5384615385","kilogram","0"
2017,"ITALIAN SEASONING","","No","No","Spices","","","61.115384615385","kilogram","0"
2017,"JALAPENO (1)","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"JALAPENO (2)","","No","No","Vegetables","","","2076.9230769231","kilogram","0"
2017,"JASMINE RICE","","No","No","Grains","","","5587.6923076923","kilogram","0"
2017,"KAHUKU OGO","","No","No","Vegetables","","","34.923076923077","kilogram","0"
2017,"KALAMATA OLIVES","","No","No","Vegetables","","","923.07692307692","kilogram","0"
2017,"KETCHUP (1)","","No","No","Vegetables","","","2095.3846153846","kilogram","0"
2017,"KETCHUP (2)","","No","No","Oils","","","2095.3846153846","kilogram","0"
2017,"KETCHUP (3)","","No","No","Vegetables","","","692.30769230769","kilogram","0"
2017,"KETCHUP (4)","","No","No","Oils","","","692.80769230769","kilogram","0"
2017,"KETCHUP (5)","","No","No","Vegetables","","","3057.1153846154","kilogram","0"
2017,"KETCHUP (6)","","No","No","Oils","","","3057.6153846154","kilogram","0"
2017,"KIDNEY BEANS","","No","No","Beans","","","2076.9230769231","kilogram","0"
2017,"KOSHER SALT","","No","No","Spices","","","1257.2307692308","kilogram","0"
